Name ,Link,State ,Party ,LegislativeBody
"Bergman, Jack",https://twitter.com/RepJackBergman,MI,R,house
"Beyer, Don",https://twitter.com/RepDonBeyer,VA,D,house
"Bice, Stephanie I.",https://twitter.com/RepBice,OK,R,house
"Biggs, Andy",https://twitter.com/RepAndyBiggsAZ,AZ,R,house
"Bilirakis, Gus M.",https://twitter.com/RepGusBilirakis,FL,R,house
"Bishop Jr., Sanford D.",https://twitter.com/SanfordBishop,GA,D,house
"Bishop, Dan",https://twitter.com/RepDanBishop,NC,R,house
"Blumenauer, Earl",https://twitter.com/repblumenauer,OR,D,house
"Blunt Rochester, Lisa",https://twitter.com/RepLBR,DE,D,house
"Boebert, Lauren",https://twitter.com/RepBoebert,CO,R,house
"Bonamici, Suzanne",https://twitter.com/RepBonamici,OR,D,house
"Bost, Mike",https://twitter.com/RepBost,IL,R,house
"Bourdeaux, Carolyn",https://twitter.com/RepBourdeaux,GA,D,house
"Bowman, Jamaal",https://twitter.com/RepBowman,NY,D,house
"Boyle, Brendan",https://twitter.com/CongBoyle,PA,D,house
"Brady, Kevin",https://twitter.com/RepKevinBrady,TX,R,house
"Brooks, Mo",https://twitter.com/RepMoBrooks,AL,R,house
"Brown, Anthony",https://twitter.com/RepAnthonyBrown,MD,D,house
"Brown, Shontel",https://twitter.com/RepShontelBrown,OH,D,house
"Brownley, Julia",https://twitter.com/RepBrownley,CA,D,house
"Buchanan, Vern",https://twitter.com/VernBuchanan,FL,R,house
"Buck, Ken",https://twitter.com/RepKenBuck,CO,R,house
"Bucshon, Larry",https://twitter.com/RepLarryBucshon,IN,R,house
"Budd, Ted",https://twitter.com/RepTedBudd,NC,R,house
"Burchett, Tim",https://twitter.com/RepTimBurchett,TN,R,house
"Burgess, Michael",https://twitter.com/michaelcburgess,TX,R,house
"Bush, Cori",https://twitter.com/RepCori,MO,D,house
"Bustos, Cheri",https://twitter.com/RepCheri,IL,D,house
"Butterfield, G.K.",https://twitter.com/GKButterfield,NC,D,house
"Calvert, Ken",https://twitter.com/KenCalvert,CA,R,house
"Cammack, Kat",https://twitter.com/RepKatCammack,FL,R,house
"Carbajal, Salud",https://twitter.com/RepCarbajal,CA,D,house
"Cardenas, Tony",https://twitter.com/RepCardenas,CA,D,house
"Carey, Mike",https://twitter.com/RepMikeCarey,OH,R,house
"Carl, Jerry L.",https://twitter.com/RepJerryCarl,AL,R,house
"Carson, André",https://twitter.com/RepAndreCarson,IN,D,house
"Carter, Buddy",https://twitter.com/RepBuddyCarter,GA,R,house
"Carter, John",https://twitter.com/JudgeCarter,TX,R,house
"Carter, Troy",https://twitter.com/RepTroyCarter,LA,D,house
