,LegislativeBody,Name ,Link,State ,Party ,account
22,senate,"Cramer, Kevin",https://twitter.com/SenKevinCramer,ND,R,SenKevinCramer
23,senate,"Crapo, Mike",https://twitter.com/MikeCrapo,ID,R,MikeCrapo
24,senate,"Cruz, Ted",https://twitter.com/SenTedCruz,TX,R,SenTedCruz
25,senate,"Daines, Steve",https://twitter.com/SteveDaines,MT,R,SteveDaines
26,senate,"Duckworth, Tammy",https://twitter.com/SenDuckworth,IL,D,SenDuckworth
27,senate,"Durbin, Richard ",https://twitter.com/SenatorDurbin,IL,D,SenatorDurbin
28,senate,"Ernst, Joni",https://twitter.com/SenJoniErnst,IA,R,SenJoniErnst
29,senate,"Feinstein, Dianne",https://twitter.com/SenFeinstein,CA,D,SenFeinstein
30,senate,"Fetterman, John",https://twitter.com/SenFettermanPA,PA,D,SenFettermanPA
31,senate,"Fischer, Deb",https://twitter.com/SenatorFischer,NE,R,SenatorFischer
32,senate,"Gillibrand, Kirsten ",https://twitter.com/SenGillibrand,NY,D,SenGillibrand
33,senate,"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,SC,R,LindseyGrahamSC
34,senate,"Grassley, Chuck",https://twitter.com/ChuckGrassley,IA,R,ChuckGrassley
35,senate,"Hagerty, Bill",https://twitter.com/SenatorHagerty,TN,R,SenatorHagerty
36,senate,"Hassan, Maggie",https://twitter.com/SenatorHassan,NH,D,SenatorHassan
37,senate,"Hawley, Josh",https://twitter.com/HawleyMO,MO,R,HawleyMO
38,senate,"Heinrich, Martin",https://twitter.com/MartinHeinrich,NM,D,MartinHeinrich
39,senate,"Hickenlooper, John ",https://twitter.com/SenatorHick,CO,D,SenatorHick
40,senate,"Hirono, Mazie ",https://twitter.com/maziehirono,HI,D,maziehirono
41,senate,"Hoeven, John",https://twitter.com/SenJohnHoeven,ND,R,SenJohnHoeven
42,senate,"Hyde-Smith, Cindy",https://twitter.com/SenHydeSmith,MS,R,SenHydeSmith
43,senate,"Johnson, Ron",https://twitter.com/SenRonJohnson,WI,R,SenRonJohnson
44,senate,"Kaine, Tim",https://twitter.com/timkaine,VA,D,timkaine
45,senate,"Kelly, Mark",https://twitter.com/SenMarkKelly,AZ,D,SenMarkKelly
46,senate,"Kennedy, John",https://twitter.com/SenJohnKennedy,LA,R,SenJohnKennedy
47,senate,"King, Angus ",https://twitter.com/SenAngusKing,ME,I,SenAngusKing
48,senate,"Klobuchar, Amy",https://twitter.com/SenAmyKlobuchar,MN,D,SenAmyKlobuchar
49,senate,"Lankford, James",https://twitter.com/SenatorLankford,OK,R,SenatorLankford
50,senate,"Lee, Mike",https://twitter.com/SenMikeLee,UT,R,SenMikeLee
51,senate,"Luján, Ben Ray",https://twitter.com/SenatorLujan,NM,D,SenatorLujan
52,senate,"Lummis, Cynthia ",https://twitter.com/SenLummis,WY,R,SenLummis
53,senate,"Manchin, Joe",https://twitter.com/Sen_JoeManchin,WV,D,Sen_JoeManchin
54,senate,"Markey, Edward ",https://twitter.com/SenMarkey,MA,D,SenMarkey
55,senate,"Marshall, Roger",https://twitter.com/SenatorMarshall,KS,R,SenatorMarshall
56,senate,"McConnell, Mitch",https://twitter.com/senatemajldr,KY,R,senatemajldr
57,senate,"Menendez, Bob",https://twitter.com/SenatorMenendez,NJ,D,SenatorMenendez
58,senate,"Merkley, Jeff",https://twitter.com/SenJeffMerkley,OR,D,SenJeffMerkley
59,senate,"Moran, Jerry",https://twitter.com/JerryMoran,KS,R,JerryMoran
60,senate,"Mullin, Markwayne",https://twitter.com/SenMullin,OK,R,SenMullin
61,senate,"Murkowski, Lisa",https://twitter.com/lisamurkowski,AK,R,lisamurkowski
62,senate,"Murphy, Christopher",https://twitter.com/ChrisMurphyCT,CT,D,ChrisMurphyCT
63,senate,"Murray, Patty",https://twitter.com/PattyMurray,WA,D,PattyMurray
64,senate,"Ossoff, Jon",https://twitter.com/ossoff,GA,D,ossoff
65,senate,"Padilla, Alex",https://twitter.com/SenAlexPadilla,CA,D,SenAlexPadilla
66,senate,"Paul, Rand",https://twitter.com/RandPaul,KY,R,RandPaul
67,senate,"Peters, Gary ",https://twitter.com/SenGaryPeters,MI,D,SenGaryPeters
68,senate,"Reed, Jack",https://twitter.com/SenJackReed,RI,D,SenJackReed
69,senate,"Ricketts, Pete",https://twitter.com/SenatorRicketts,NE,R,SenatorRicketts
70,senate,"Risch, James ",https://twitter.com/SenatorRisch,ID,R,SenatorRisch
71,senate,"Romney, Mitt",https://twitter.com/SenatorRomney,UT,R,SenatorRomney
72,senate,"Rosen, Jacky",https://twitter.com/SenJackyRosen,NV,D,SenJackyRosen
73,senate,"Rounds, Mike",https://twitter.com/SenatorRounds,SD,R,SenatorRounds
74,senate,"Rubio, Marco",https://twitter.com/marcorubio,FL,R,marcorubio
75,senate,"Sanders, Bernard",https://twitter.com/SenSanders,VT,I,SenSanders
76,senate,"Sasse, Ben",https://twitter.com/SenSasse,NE,R,SenSasse
77,senate,"Schatz, Brian",https://twitter.com/SenBrianSchatz,HI,D,SenBrianSchatz
78,senate,"Schmitt, Eric",https://twitter.com/SenEricSchmitt,MO,R,SenEricSchmitt
79,senate,"Schumer, Charles ",https://twitter.com/SenSchumer,NY,D,SenSchumer
80,senate,"Scott, Rick",https://twitter.com/SenRickScott,FL,R,SenRickScott
81,senate,"Scott, Tim",https://twitter.com/SenatorTimScott,SC,R,SenatorTimScott
82,senate,"Shaheen, Jeanne",https://twitter.com/SenatorShaheen,NH,D,SenatorShaheen
83,senate,"Sinema, Kyrsten",https://twitter.com/SenatorSinema,AZ,D,SenatorSinema
84,senate,"Smith, Tina",https://twitter.com/SenTinaSmith,MN,D,SenTinaSmith
85,senate,"Stabenow, Debbie",https://twitter.com/SenStabenow,MI,D,SenStabenow
86,senate,"Sullivan, Dan",https://twitter.com/SenDanSullivan,AK,R,SenDanSullivan
87,senate,"Tester, Jon",https://twitter.com/SenatorTester,MT,D,SenatorTester
88,senate,"Thune, John",https://twitter.com/SenJohnThune,SD,R,SenJohnThune
89,senate,"Tillis, Thom",https://twitter.com/SenThomTillis,NC,R,SenThomTillis
90,senate,"Tuberville, Tommy",https://twitter.com/SenTuberville,AL,R,SenTuberville
91,senate,"Van Hollen, Chris",https://twitter.com/ChrisVanHollen,MD,D,ChrisVanHollen
92,senate,"Vance, J.D. ",https://twitter.com/SenVancePress,OH,R,SenVancePress
93,senate,"Warner, Mark ",https://twitter.com/MarkWarner,VA,D,MarkWarner
94,senate,"Warnock, Raphael ",https://twitter.com/SenatorWarnock,GA,D,SenatorWarnock
95,senate,"Warren, Elizabeth",https://twitter.com/SenWarren,MA,D,SenWarren
