,profile_image_url,username,verified,created_at,protected,url,public_metrics,entities,id,description,name,location,pinned_tweet_id
16,https://pbs.twimg.com/profile_images/1100524258059522049/Fdmj0qny_normal.png,RepRonKind,True,2010-02-09T15:14:02.000Z,False,https://t.co/P50arV604e,"{'followers_count': 19008, 'following_count': 758, 'tweet_count': 2559, 'listed_count': 1023}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/P50arV604e', 'expanded_url': 'https://kind.house.gov/', 'display_url': 'kind.house.gov'}]}}",112740986,Archived Account: Proud Wisconsinite. 🏈🧀🇺🇸🍻 I work for the people of Wisconsin’s Third Congressional District. Go Badgers! Go Brewers! Go Pack!,Archive: Rep. Ron Kind,"La Crosse, WI",1459305507450245122
17,https://pbs.twimg.com/profile_images/694232632503201794/JoCP5r3E_normal.png,RepKinzinger,True,2010-11-24T21:04:11.000Z,False,https://t.co/nCMRb4vaND,"{'followers_count': 567276, 'following_count': 936, 'tweet_count': 9669, 'listed_count': 3209}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nCMRb4vaND', 'expanded_url': 'http://kinzinger.house.gov', 'display_url': 'kinzinger.house.gov'}]}, 'description': {'hashtags': [{'start': 8, 'end': 13, 'tag': 'IL16'}, {'start': 119, 'end': 132, 'tag': 'CountryFirst'}]}}",219429281,Serving #IL16 as a Member of Congress & as a pilot in the Air National Guard. Proud to stand up for democracy & truth. #CountryFirst,Adam Kinzinger,"Channahon, IL",1610055814525423616
18,https://pbs.twimg.com/profile_images/1083105724312506369/LMn9i3D5_normal.jpg,RepKirkpatrick,True,2019-01-04T17:24:57.000Z,False,https://t.co/98uPA9ejti,"{'followers_count': 10726, 'following_count': 616, 'tweet_count': 4415, 'listed_count': 467}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/98uPA9ejti', 'expanded_url': 'https://kirkpatrick.house.gov/', 'display_url': 'kirkpatrick.house.gov'}]}}",1081240074946252801,"Congresswoman representing Arizona's 2nd District, but my grandchildren call me ""Mumsy!""",Rep. Ann Kirkpatrick,"Tucson, AZ",1524478458742685701
19,https://pbs.twimg.com/profile_images/817454739910750209/-LvcQa9a_normal.jpg,CongressmanRaja,True,2016-12-28T18:39:42.000Z,False,https://t.co/s0AH87fXlE,"{'followers_count': 178792, 'following_count': 1146, 'tweet_count': 13369, 'listed_count': 1209}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/s0AH87fXlE', 'expanded_url': 'https://krishnamoorthi.house.gov/', 'display_url': 'krishnamoorthi.house.gov'}]}, 'description': {'mentions': [{'start': 129, 'end': 140, 'username': 'HouseIntel'}, {'start': 143, 'end': 157, 'username': 'OversightDems'}]}}",814179031956488192,Official Twitter account of Congressman Raja Krishnamoorthi (IL-08) | Ranking Member of Select Committee On The CCP | Serving on @HouseIntel & @OversightDems,Congressman Raja Krishnamoorthi,"Schaumburg, IL",1620856677821222913
20,https://pbs.twimg.com/profile_images/1393312843508981761/izufJnTE_normal.jpg,RepAnnieKuster,True,2013-01-03T20:29:22.000Z,False,https://t.co/baXVbZnJD8,"{'followers_count': 24895, 'following_count': 2229, 'tweet_count': 8180, 'listed_count': 912}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/baXVbZnJD8', 'expanded_url': 'http://kuster.house.gov/', 'display_url': 'kuster.house.gov'}]}, 'description': {'mentions': [{'start': 89, 'end': 105, 'username': 'NewDemCoalition'}]}}",1058717720,Honored to serve the people of New Hampshire’s Second District in Congress. Chair of the @NewDemCoalition.,Ann McLane Kuster,NH's 2nd District,
21,https://pbs.twimg.com/profile_images/837085695479070721/yqIFqepO_normal.jpg,RepDavidKustoff,True,2017-01-02T20:03:46.000Z,False,https://t.co/ZB6hjscM8M,"{'followers_count': 15857, 'following_count': 839, 'tweet_count': 3514, 'listed_count': 501}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZB6hjscM8M', 'expanded_url': 'http://kustoff.house.gov', 'display_url': 'kustoff.house.gov'}]}}",816012124505931780,"Official news and updates from Congressman David Kustoff, Proudly serving the 8th District of Tennessee",Rep. David Kustoff,"TN-08/Washington, DC",
22,https://pbs.twimg.com/profile_images/1631169159642923009/DiYb9_ra_normal.jpg,RepLaHood,True,2015-09-17T14:16:48.000Z,False,https://t.co/QH3TARPG3f,"{'followers_count': 21384, 'following_count': 1363, 'tweet_count': 4021, 'listed_count': 610}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QH3TARPG3f', 'expanded_url': 'https://lahood.house.gov/', 'display_url': 'lahood.house.gov'}]}, 'description': {'mentions': [{'start': 62, 'end': 78, 'username': 'WaysandMeansGOP'}, {'start': 80, 'end': 91, 'username': 'HouseIntel'}, {'start': 97, 'end': 112, 'username': 'committeeonccp'}]}}",3686482216,"Proudly representing the 16th District of Illinois. Member of @WaysandMeansGOP, @HouseIntel, and @committeeonccp.",Darin LaHood,"Peoria, IL",
23,https://pbs.twimg.com/profile_images/532998035416969216/vtCyv9Ze_normal.jpeg,RepLaMalfa,True,2013-01-07T20:07:58.000Z,False,https://t.co/ji6VtUzC0g,"{'followers_count': 27576, 'following_count': 1019, 'tweet_count': 2478, 'listed_count': 845}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ji6VtUzC0g', 'expanded_url': 'http://LaMalfa.house.gov', 'display_url': 'LaMalfa.house.gov'}]}}",1069124515,"Representing California’s First Congressional District, including Butte, Colusa, Glenn, Lassen, Modoc, Shasta, Siskiyou, Sutter, Tehama and Yuba Counties.",Rep. Doug LaMalfa,Northern California,
24,https://pbs.twimg.com/profile_images/1620806014084816897/npP2E7ni_normal.jpg,RepDLamborn,True,2012-05-18T16:01:17.000Z,False,https://t.co/Td8khtrjgc,"{'followers_count': 34884, 'following_count': 1310, 'tweet_count': 7071, 'listed_count': 1068}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Td8khtrjgc', 'expanded_url': 'http://lamborn.house.gov', 'display_url': 'lamborn.house.gov'}]}, 'description': {'urls': [{'start': 115, 'end': 138, 'url': 'https://t.co/8Ln0CdSlI9', 'expanded_url': 'http://lamborn.house.gov/policy-twitter', 'display_url': 'lamborn.house.gov/policy-twitter'}], 'mentions': [{'start': 57, 'end': 73, 'username': 'HASCRepublicans'}, {'start': 78, 'end': 91, 'username': 'NatResources'}]}}",584012853,Honored to represent Colorado's 5th District | Member of @HASCRepublicans and @NatResources | Twitter user policy: https://t.co/8Ln0CdSlI9,Rep. Doug Lamborn,"Colorado Springs, CO",
25,https://pbs.twimg.com/profile_images/1182731438426394626/j40QWnU9_normal.jpg,JimLangevin,True,2009-01-12T18:36:58.000Z,False,,"{'followers_count': 29508, 'following_count': 4534, 'tweet_count': 15233, 'listed_count': 1051}",,18909919,Former U.S. Congressman for Rhode Island's Second District,Jim Langevin,"Warwick, RI",1603135489740984321
